date, pm25, pm10, o3, no2, so2, co
2024/10/7, 17, 12, 24, 3, , 
2024/10/8, 13, 14, 24, 2, , 
2024/10/9, 14, 21, 23, 4, , 
2024/10/10, 21, 20, 23, 3, , 1
2024/10/11, 22, 25, 24, 2, 3, 1
2024/10/12, 27, 21, 23, 2, 1, 
2024/10/13, 21, 19, 23, 4, 3, 1
2024/10/14, 25, 22, 22, , , 1
2024/10/15, 20, 19, 20, 2, 1, 1
2024/10/16, 21, 19, 25, 4, , 1
2024/10/17, 24, 12, 29, 5, , 1
2024/10/18, 18, 8, 27, , , 
2024/10/19, 10, 12, 21, , , 1
2024/10/20, 17, 9, 23, 1, , 1
2024/10/21, 14, 16, 31, 3, , 1
2024/10/22, 26, 24, 26, 2, , 1
2024/10/23, 26, 12, 22, 2, , 1
2024/10/24, 13, 10, 24, 2, , 1
2024/10/25, 10, 11, 26, 2, 1, 1
2024/10/26, 16, 14, 28, 1, , 1
2024/10/27, 15, 21, 21, 2, , 1
2024/10/28, 20, 19, 20, 1, , 1
2024/10/29, 20, 6, 23, 1, , 1
2024/10/30, 9, 6, 21, 2, , 1
2024/10/31, 9, 13, 20, 3, , 1
2024/11/1, 14, 20, 24, 1, , 1
2024/11/2, 20, 27, 24, 2, , 1
2024/11/3, 22, 34, 21, 3, , 1
2024/11/4, 24, , 27, 1, , 1
2024/11/5, 18, , 28, 3, , 1
2024/11/6, 23, , 23, 2, 1, 1
2024/11/7, 18, , 21, 2, , 1
2024/11/8, 15, , 26, 2, , 1
2024/11/9, 22, , 20, 1, , 1
2024/11/10, 18, , 25, 2, , 1
2024/11/11, 17, 15, 26, 1, 3, 1
2024/11/12, 21, 16, 18, 3, , 1
2024/11/13, 21, 19, 20, 1, , 
2024/11/14, 19, 23, 22, 2, , 1
2024/11/15, 20, 19, 33, 2, 1, 1
2024/11/16, 26, 16, 26, 2, , 1
2024/11/17, 20, 14, 18, 1, , 
2024/11/18, 15, 14, 21, 2, , 
